,accuracy,precision,recall,F1,AUC
KNN,0.9300333333333334,0.42908653846153844,0.18021201413427562,0.253821542836829,0.22880677378685782
DT,0.9050333333333334,0.27442827442827444,0.2665320545179202,0.27042253521126763,0.1001487010269745
BAG,0.9243333333333333,0.3763900769888794,0.2221100454316002,0.27936507936507937,0.25437953667073565
RF,0.9285333333333333,0.4198623402163225,0.21554770318021202,0.28485657104736495,0.28724391514622727
LR,0.9348,0.5748502994011976,0.04846037354871277,0.0893854748603352,0.26437463364073993
GB,0.9339666666666666,0.0,0.0,0.0,0.37277301825127607
